"pair","pairwise_distance","dH","frxfr","dH_bin"
"Salmonella enterica---Escherichia coli",0.0243266724587315,0.0358243883299235,0.00348,"[0,0.05]"
"Salmonella enterica---Proteus vulgaris",0.0472370766488414,0.0974114963678531,0.003248,"(0.05,0.1]"
"Escherichia coli---Proteus vulgaris",0.0569902048085485,0.123629582818679,0.00336,"(0.1,0.15]"
"Salmonella enterica---Proteus mirabilis",0.0465532676812892,0.0955733002185193,0.00319,"(0.05,0.1]"
"Escherichia coli---Proteus mirabilis",0.0570409982174688,0.123766124240508,0.0033,"(0.1,0.15]"
"Proteus vulgaris---Proteus mirabilis",0.00931414055884843,0,0.00308,"[0,0.05]"
"Salmonella enterica---Pseudomonas aeruginosa",0.101301115241636,0.242744933445257,0.010266,"(0.2,0.25]"
"Escherichia coli---Pseudomonas aeruginosa",0.109900090826521,0.265860459211079,0.01062,"(0.25,0.3]"
"Proteus vulgaris---Pseudomonas aeruginosa",0.112359550561798,0.27247191011236,0.009912,"(0.25,0.3]"
"Proteus mirabilis---Pseudomonas aeruginosa",0.113857016769638,0.276497356907629,0.009735,"(0.25,0.3]"
"Salmonella enterica---Burkholderia pyrrocinia",0.124875124875125,0.306115927083669,0.00812,"(0.3,0.35]"
"Escherichia coli---Burkholderia pyrrocinia",0.142314990512334,0.352997286323478,0.0084,"(0.35,0.4]"
"Proteus vulgaris---Burkholderia pyrrocinia",0.141958670260557,0.352039436184293,0.00784,"(0.35,0.4]"
"Proteus mirabilis---Burkholderia pyrrocinia",0.139705882352941,0.345983554712207,0.0077,"(0.3,0.35]"
"Pseudomonas aeruginosa---Burkholderia pyrrocinia",0.121320249776985,0.296559811228454,0.02478,"(0.25,0.3]"
"Salmonella enterica---Enterococcus faecalis",0.172764227642276,0.434850074307195,0.008874,"(0.4,0.45]"
"Escherichia coli---Enterococcus faecalis",0.19873532068654,0.504664840555216,0.00918,"(0.5,0.55]"
"Proteus vulgaris---Enterococcus faecalis",0.18711385701677,0.473424346819273,0.008568,"(0.45,0.5]"
"Proteus mirabilis---Enterococcus faecalis",0.186784140969163,0.472538013357965,0.008415,"(0.45,0.5]"
"Pseudomonas aeruginosa---Enterococcus faecalis",0.181738366988587,0.458974104808028,0.027081,"(0.45,0.5]"
"Burkholderia pyrrocinia---Enterococcus faecalis",0.206334841628959,0.525093660292901,0.02142,"(0.5,0.55]"
"Salmonella enterica---Bacillus subtilis",0.146290491118077,0.36368411590881,0.00232,"(0.35,0.4]"
"Escherichia coli---Bacillus subtilis",0.175022789425706,0.440921476950824,0.0024,"(0.4,0.45]"
"Proteus vulgaris---Bacillus subtilis",0.171929824561404,0.43260705527259,0.00224,"(0.4,0.45]"
"Proteus mirabilis---Bacillus subtilis",0.173179396092362,0.435966118527856,0.0022,"(0.4,0.45]"
"Pseudomonas aeruginosa---Bacillus subtilis",0.151567944250871,0.377870817878686,0.00708,"(0.35,0.4]"
"Burkholderia pyrrocinia---Bacillus subtilis",0.182872435325602,0.462022675606457,0.0056,"(0.45,0.5]"
"Enterococcus faecalis---Bacillus subtilis",0.0775127768313458,0.178797787181037,0.00612,"(0.15,0.2]"
"Salmonella enterica---Akkermansia muciniphila",0.180434782608696,0.4554698457223,0.009686,"(0.45,0.5]"
"Escherichia coli---Akkermansia muciniphila",0.227605118829982,0.582271824811779,0.01002,"(0.55,0.6]"
"Proteus vulgaris---Akkermansia muciniphila",0.22667829119442,0.579780352673173,0.009352,"(0.55,0.6]"
"Proteus mirabilis---Akkermansia muciniphila",0.232682060390764,0.595919517179472,0.009185,"(0.55,0.6]"
"Pseudomonas aeruginosa---Akkermansia muciniphila",0.198088618592528,0.502926394065936,0.029559,"(0.5,0.55]"
"Burkholderia pyrrocinia---Akkermansia muciniphila",0.221631205673759,0.566212918477846,0.02338,"(0.55,0.6]"
"Enterococcus faecalis---Akkermansia muciniphila",0.216333622936577,0.551972104668217,0.025551,"(0.55,0.6]"
"Bacillus subtilis---Akkermansia muciniphila",0.203098106712565,0.516392759980012,0.00668,"(0.5,0.55]"
"Salmonella enterica---Porphyromonas gingivalis",0.164571428571429,0.412826420890937,0.00551,"(0.4,0.45]"
"Escherichia coli---Porphyromonas gingivalis",0.227483751160631,0.581945567636106,0.0057,"(0.55,0.6]"
"Proteus vulgaris---Porphyromonas gingivalis",0.231267345050879,0.592116518953975,0.00532,"(0.55,0.6]"
"Proteus mirabilis---Porphyromonas gingivalis",0.231763619575254,0.593450590256059,0.005225,"(0.55,0.6]"
"Pseudomonas aeruginosa---Porphyromonas gingivalis",0.220494053064959,0.563156056626233,0.016815,"(0.55,0.6]"
"Burkholderia pyrrocinia---Porphyromonas gingivalis",0.227788279773157,0.582764192938594,0.0133,"(0.55,0.6]"
"Enterococcus faecalis---Porphyromonas gingivalis",0.231674208144796,0.593210236948377,0.014535,"(0.55,0.6]"
"Bacillus subtilis---Porphyromonas gingivalis",0.226982680036463,0.580598602248557,0.0038,"(0.55,0.6]"
"Akkermansia muciniphila---Porphyromonas gingivalis",0.238313473877177,0.611057725476282,0.015865,"(0.6,0.65]"
