"pair","pairwise_distance","dH","frxfr","dH_bin"
"Salmonella enterica---Escherichia coli",0.0243266724587315,0.0358243883299235,0.026082,"[0,0.05]"
"Salmonella enterica---Proteus vulgaris",0.0472370766488414,0.0974114963678531,0.009072,"(0.05,0.1]"
"Escherichia coli---Proteus vulgaris",0.0569902048085485,0.123629582818679,0.009016,"(0.1,0.15]"
"Salmonella enterica---Proteus mirabilis",0.0465532676812892,0.0955733002185193,0.00891,"(0.05,0.1]"
"Escherichia coli---Proteus mirabilis",0.0570409982174688,0.123766124240508,0.008855,"(0.1,0.15]"
"Proteus vulgaris---Proteus mirabilis",0.00931414055884843,0,0.00308,"[0,0.05]"
"Salmonella enterica---Pseudomonas aeruginosa",0.101301115241636,0.242744933445257,0.035478,"(0.2,0.25]"
"Escherichia coli---Pseudomonas aeruginosa",0.109900090826521,0.265860459211079,0.035259,"(0.25,0.3]"
"Proteus vulgaris---Pseudomonas aeruginosa",0.112359550561798,0.27247191011236,0.012264,"(0.25,0.3]"
"Proteus mirabilis---Pseudomonas aeruginosa",0.113857016769638,0.276497356907629,0.012045,"(0.25,0.3]"
"Salmonella enterica---Burkholderia pyrrocinia",0.124875124875125,0.306115927083669,0.02268,"(0.3,0.35]"
"Escherichia coli---Burkholderia pyrrocinia",0.142314990512334,0.352997286323478,0.02254,"(0.35,0.4]"
"Proteus vulgaris---Burkholderia pyrrocinia",0.141958670260557,0.352039436184293,0.00784,"(0.35,0.4]"
"Proteus mirabilis---Burkholderia pyrrocinia",0.139705882352941,0.345983554712207,0.0077,"(0.3,0.35]"
"Pseudomonas aeruginosa---Burkholderia pyrrocinia",0.121320249776985,0.296559811228454,0.03066,"(0.25,0.3]"
"Salmonella enterica---Enterococcus faecalis",0.172764227642276,0.434850074307195,0.040824,"(0.4,0.45]"
"Escherichia coli---Enterococcus faecalis",0.19873532068654,0.504664840555216,0.040572,"(0.5,0.55]"
"Proteus vulgaris---Enterococcus faecalis",0.18711385701677,0.473424346819273,0.014112,"(0.45,0.5]"
"Proteus mirabilis---Enterococcus faecalis",0.186784140969163,0.472538013357965,0.01386,"(0.45,0.5]"
"Pseudomonas aeruginosa---Enterococcus faecalis",0.181738366988587,0.458974104808028,0.055188,"(0.45,0.5]"
"Burkholderia pyrrocinia---Enterococcus faecalis",0.206334841628959,0.525093660292901,0.03528,"(0.5,0.55]"
"Salmonella enterica---Lactobacillus fermentum",0.152400835073069,0.380109771701798,0.029808,"(0.35,0.4]"
"Escherichia coli---Lactobacillus fermentum",0.182481751824818,0.460972451141983,0.029624,"(0.45,0.5]"
"Proteus vulgaris---Lactobacillus fermentum",0.174429223744292,0.439325870280355,0.010304,"(0.4,0.45]"
