"pair","pairwise_distance","dH","frxfr","dH_bin"
"Salmonella enterica---Escherichia coli",0.0243266724587315,0.0358243883299235,0.010504,"[0,0.05]"
"Salmonella enterica---Pseudomonas aeruginosa",0.103636363636364,0.249022482893451,0.004368,"(0.2,0.25]"
"Escherichia coli---Pseudomonas aeruginosa",0.109900090826521,0.265860459211079,0.004242,"(0.25,0.3]"
"Salmonella enterica---Enterococcus faecalis",0.177238805970149,0.446878510672444,0.010296,"(0.4,0.45]"
"Escherichia coli---Enterococcus faecalis",0.19873532068654,0.504664840555216,0.009999,"(0.5,0.55]"
"Pseudomonas aeruginosa---Enterococcus faecalis",0.181738366988587,0.458974104808028,0.004158,"(0.45,0.5]"
"Salmonella enterica---Lactobacillus fermentum",0.158851674641148,0.397450738282657,0.019136,"(0.35,0.4]"
"Escherichia coli---Lactobacillus fermentum",0.182481751824818,0.460972451141983,0.018584,"(0.45,0.5]"
"Pseudomonas aeruginosa---Lactobacillus fermentum",0.168173598553345,0.422509673530498,0.007728,"(0.4,0.45]"
"Enterococcus faecalis---Lactobacillus fermentum",0.0820244328097731,0.190925894649928,0.018216,"(0.15,0.2]"
"Salmonella enterica---Listeria monocytogenes",0.149951314508277,0.373525039000743,0.014664,"(0.35,0.4]"
"Escherichia coli---Listeria monocytogenes",0.17722681359045,0.446846273092607,0.014241,"(0.4,0.45]"
"Pseudomonas aeruginosa---Listeria monocytogenes",0.162608695652174,0.4075502571295,0.005922,"(0.4,0.45]"
"Enterococcus faecalis---Listeria monocytogenes",0.0808254514187446,0.187702826394475,0.013959,"(0.15,0.2]"
"Lactobacillus fermentum---Listeria monocytogenes",0.0694568121104185,0.157141968038759,0.025944,"(0.15,0.2]"
"Salmonella enterica---Staphylococcus aureus",0.148622047244095,0.36995173990348,0.01612,"(0.35,0.4]"
"Escherichia coli---Staphylococcus aureus",0.175487465181058,0.442170605325426,0.015655,"(0.4,0.45]"
"Pseudomonas aeruginosa---Staphylococcus aureus",0.165454545454545,0.415200391006843,0.00651,"(0.4,0.45]"
"Enterococcus faecalis---Staphylococcus aureus",0.0811287477954145,0.188518139234985,0.015345,"(0.15,0.2]"
"Lactobacillus fermentum---Staphylococcus aureus",0.0686540198735321,0.154983924391215,0.02852,"(0.15,0.2]"
"Listeria monocytogenes---Staphylococcus aureus",0.000866551126516465,0,0.021855,"[0,0.05]"
"Salmonella enterica---Bacillus subtilis",0.145129224652087,0.36056243186045,0.018096,"(0.35,0.4]"
"Escherichia coli---Bacillus subtilis",0.175022789425706,0.440921476950824,0.017574,"(0.4,0.45]"
"Pseudomonas aeruginosa---Bacillus subtilis",0.151567944250871,0.377870817878686,0.007308,"(0.35,0.4]"
"Enterococcus faecalis---Bacillus subtilis",0.0775127768313458,0.178797787181037,0.017226,"(0.15,0.2]"
"Lactobacillus fermentum---Bacillus subtilis",0.0627763041556145,0.139183613321544,0.032016,"(0.1,0.15]"
"Listeria monocytogenes---Bacillus subtilis",0.0552721088435374,0.119011045278326,0.024534,"(0.1,0.15]"
"Staphylococcus aureus---Bacillus subtilis",0.0561896400351185,0.121477526976125,0.02697,"(0.1,0.15]"
NA,NA,0.1,0,"(0.05,0.1]"
NA,NA,0.35,0,"(0.3,0.35]"
NA,NA,0.6,0,"(0.55,0.6]"
NA,NA,0.65,0,"(0.6,0.65]"
