"pair","pairwise_distance","frxfr"
"6172---1383",0.138004246284501,0.000962909636281518
"6172---4459",0.21071953010279,0.000353066872632274
"1383---4459",0.210643015521064,0.000378285927392028
"6172---4172",0.176555716353111,0.00147646144829404
"1383---4172",0.198294243070363,0.00158192294865399
"4459---4172",0.285413744740533,0.00058003842435657
"6172---78",0.183345507669832,0.000353066872632274
"1383---78",0.196697774587222,0.000378285927392028
"4459---78",0.281050390347764,0.000138704842399204
"4172---78",0.0778401122019635,0.00058003842435657
"6172---6556",0.164933135215453,0.000577745799756063
"1383---6556",0.181752353367125,0.000619013344492386
"4459---6556",0.259498207885305,0.000226971563501598
"4172---6556",0.138125440451022,0.000949153798742715
"78---6556",0.128571428571429,0.000226971563501598
"6172---2312",0.178052325581395,0.00195791629641339
"1383---2312",0.217027215631542,0.0020977674184576
"4459---2312",0.25531914893617,0.000769181399829886
"4172---2312",0.240289664252798,0.00321657672136375
"78---2312",0.23949299533022,0.000769181399829886
"6556---2312",0.227027027027027,0.00125866049026086
"6172---8239",0.0923423423423423,0.00067403675139278
"1383---8239",0.119682768565249,0.00072218221918116
"4459---8239",0.216312056737589,0.00026480015152988
"4172---8239",0.204483695652174,0.0011073460739079
"78---8239",0.213058419243986,0.00026480015152988
"6556---8239",0.188850174216028,0.00043330934499906
"2312---8239",0.200934579439252,0.00146843720598242
"6172---14420",0.0545454545454545,0.000609842763649244
"1383---14420",0.134670487106017,0.000653402947975368
"4459---14420",0.223786066150598,0.000239581084992824
"4172---14420",0.196211096075778,0.00100188452429742
"78---14420",0.202193283070596,0.000239581084992824
"6556---14420",0.187239944521498,0.000392041780990788
"2312---14420",0.208388814913449,0.00132858601862772
"8239---14420",0.115384615384615,0.00045738206765128
"6172---8189",0.107469512195122,0.000609842763649244
"1383---8189",0.0791575889615105,0.000653402947975368
"4459---8189",0.220545977011494,0.000239581084992824
"4172---8189",0.208965517241379,0.00100188452429742
"78---8189",0.211149825783972,0.000239581084992824
"6556---8189",0.182780522230063,0.000392041780990788
"2312---8189",0.202574525745257,0.00132858601862772
"8239---8189",0.12858141160028,0.00045738206765128
"14420---8189",0.137404580152672,0.000413821862982544
"6172---746",0.146945088940449,0.000866618684644801
"1383---746",0.191229331416247,0.000928520000678622
"4459---746",0.278525868178597,0.000340457339363746
"4172---746",0.0119214586255259,0.0014237306734888
"78---746",0.0816181689141235,0.000340457339363746
"6556---746",0.129101283880171,0.000557112017751927
"2312---746",0.233333333333333,0.00188799070273604
"8239---746",0.192704748795595,0.00064996400625662
"14420---746",0.19041095890411,0.000588062661314876
"8189---746",0.198462613556953,0.000588062661314876
"6172---15943",0.177068214804064,0.00882667175584968
"1383---15943",0.151839464882943,0.00945714812056087
"4459---15943",0.290789473684211,0.0034676210364255
"4172---15943",0.267383059418458,0.0145009605104132
"78---15943",0.26295585412668,0.0034676210364255
"6556---15943",0.245954692556634,0.00567428904899605
"2312---15943",0.280099812850905,0.0192295348651262
"8239---15943",0.211810012836971,0.00662000374327912
"14420---15943",0.21405750798722,0.00598952708413538
"8189---15943",0.140065146579805,0.00598952708413538
"746---15943",0.255918106206014,0.0085114334262778
"6172---9751",0.148985959438378,0.000738230739136316
"1383---9751",0.08810888252149,0.000790961490386952
"4459---9751",0.261052631578947,0.000290019218066936
"4172---9751",0.235810810810811,0.00121280762351838
"78---9751",0.237834132967786,0.000290019218066936
"6556---9751",0.231513476157567,0.000474576909007332
"2312---9751",0.258128732581287,0.00160828839333712
"8239---9751",0.189170664838931,0.00055367304819592
"14420---9751",0.192886456908345,0.000500942272320016
"8189---9751",0.132404181184669,0.000500942272320016
"746---9751",0.23066392881588,0.000711865351198364
"15943---9751",0.197830248883216,0.00725048040242286
"6172---76",0.237147595356551,0.00799215006507664
"1383---76",0.25635103926097,0.00856301775548515
"4459---76",0.302501895375284,0.00313977323033028
"4172---76",0.261127596439169,0.0131299606117296
"78---76",0.26311844077961,0.00313977323033028
"6556---76",0.254172989377845,0.00513781081324826
"2312---76",0.295306859205776,0.0174114697560675
"8239---76",0.271312083024463,0.00599411248215866
"14420---76",0.261254612546125,0.00542324452515487
"8189---76",0.266866566716642,0.00542324452515487
"746---76",0.25244177310293,0.00770671608657475
"15943---76",0.309957924263675,0.0784943302250664
"9751---76",0.265473527218494,0.00656498043916245
"6172---13922",0.104257167680278,0.00308131087207516
"1383---13922",0.0822603719599428,0.00330140443971956
"4459---13922",0.219495091164095,0.00121051498178725
"4172---13922",0.220430107526882,0.00506215349479341
"78---13922",0.219196732471069,0.00121051498178725
"6556---13922",0.193659545141282,0.00198084272550197
"2312---13922",0.224570673712021,0.00671285581743692
"8239---13922",0.150853242320819,0.00231098312836044
"14420---13922",0.162033898305085,0.00209088945793231
"8189---13922",0.0854166666666667,0.00209088945793231
"746---13922",0.211027910142954,0.0029712640368611
"15943---13922",0.162642947903431,0.0302628743391139
"9751---13922",0.143050847457627,0.00253107679878857
"76---13922",0.277941176470588,0.0274016571374668
