"pair","pairwise_distance","frxfr"
"2912---6172",0.185997171145686,0.000227719116734508
"2912---4782",0.116725978647687,0.000107866951062864
"6172---4782",0.190780141843972,0.000256184000512368
"2912---5183",0.208063354931605,5.9926082835822e-05
"6172---5183",0.183702644746247,0.000142324442145114
"4782---5183",0.223593964334705,6.7416841660312e-05
"2912---754",0.215007215007215,4.7940868227042e-05
"6172---754",0.151601423487544,0.000113859558367254
"4782---754",0.244201909959072,5.3933475531432e-05
"5183---754",0.200411805078929,2.9963041417911e-05
"2912---4459",0.264705882352941,5.9926082835822e-05
"6172---4459",0.256484149855908,0.000142324442145114
"4782---4459",0.280166435506241,6.7416841660312e-05
"5183---4459",0.287526427061311,3.7453800242401e-05
"754---4459",0.300897170462388,2.9963041417911e-05
"2912---248",0.203689469638739,7.1911297444602e-05
"6172---248",0.182089552238806,0.000170789325922974
"4782---248",0.221423436376707,8.0900207789192e-05
"5183---248",0.102178812922615,4.4944559066891e-05
"754---248",0.197841726618705,3.5955648722301e-05
"4459---248",0.276752767527675,4.4944559066891e-05
"2912---4172",0.200147167034584,0.000515364316304838
"6172---4172",0.17277856135402,0.00122399021175031
"4782---4172",0.235810810810811,0.000579784842685048
"5183---4172",0.137931034482759,0.000322102684532629
"754---4172",0.198380566801619,0.000257682158152419
"4459---4172",0.300694444444444,0.000322102684532629
"248---4172",0.113249444855662,0.000386523210912839
"2912---78",0.198383541513593,0.00270865896180461
"6172---78",0.184950773558369,0.00643306482681962
"4782---78",0.23989218328841,0.00304724126287474
"5183---78",0.123769338959212,0.00169291178197244
"754---78",0.174528301886792,0.00135432948090231
"4459---78",0.293832293832294,0.00169291178197244
"248---78",0.0857354028085736,0.00203149408304257
"4172---78",0.0828729281767956,0.0145590414356117
"2912---6556",0.188066465256798,0.000119852165671644
"6172---6556",0.163384390955507,0.000284648884290228
"4782---6556",0.20140350877193,0.000134833683320624
"5183---6556",0.126628075253256,7.4907600484802e-05
"754---6556",0.18951048951049,5.9926082835822e-05
"4459---6556",0.277896233120114,7.4907600484802e-05
"248---6556",0.126037735849057,8.9889118133782e-05
"4172---6556",0.128917378917379,0.000644205369065258
"78---6556",0.134328358208955,0.00338582356394487
"2912---2312",0.168792198049512,0.00027565998496155
"6172---2312",0.184637068357999,0.00065469244316985
"4782---2312",0.192934782608696,0.0003101174760438
"5183---2312",0.211027910142954,0.000172287483563025
"754---2312",0.219363574813812,0.000137829992480775
"4459---2312",0.273727647867951,0.000172287483563025
"248---2312",0.211387900355872,0.000206744974645275
"4172---2312",0.220883534136546,0.00148167236990273
"78---2312",0.225935828877005,0.00778739430772193
"6556---2312",0.200555170020819,0.00034457496712605
"2912---8239",0.179626749611197,8.3896512053382e-05
"6172---8239",0.108997805413314,0.000199254209700834
"4782---8239",0.192957746478873,9.4383573918072e-05
"5183---8239",0.190340909090909,5.2435317891381e-05
"754---8239",0.169611307420495,4.1948256026691e-05
"4459---8239",0.275,5.2435317891381e-05
"248---8239",0.19644180874722,6.2922379756071e-05
"4172---8239",0.187412587412587,0.000450943737293049
"78---8239",0.202231520223152,0.0023700763841127
"6556---8239",0.16751269035533,0.000104870635782762
"2312---8239",0.189979123173278,0.000241202465727525
"2912---14420",0.176425269645609,9.5881736454084e-05
"6172---14420",0.0663338088445078,0.000227719116734508
"4782---14420",0.208219178082192,0.000107866951062864
"5183---14420",0.196698762035763,5.9926082835822e-05
"754---14420",0.169283276450512,4.7940868227042e-05
"4459---14420",0.267313019390582,5.9926082835822e-05
"248---14420",0.197557471264368,7.1911297444602e-05
"4172---14420",0.195945945945946,0.000515364316304838
"78---14420",0.203504043126685,0.00270865896180461
"6556---14420",0.174859550561798,0.000119852165671644
"2312---14420",0.191186440677966,0.00027565998496155
"8239---14420",0.110875706214689,8.3896512053382e-05
"2912---6630",0.188416988416988,0.000491393887087278
"6172---6630",0.177224199288256,0.00116706044419459
"4782---6630",0.220477815699659,0.000552818110427288
"5183---6630",0.152158527954706,0.000307121166883649
"754---6630",0.200543847722638,0.000245696943543639
"4459---6630",0.277545327754533,0.000307121166883649
"248---6630",0.148778682457439,0.000368545390223659
"4172---6630",0.167706167706168,0.00264124205527282
"78---6630",0.168624740843124,0.0138818768334714
"6556---6630",0.130185979971388,0.000614242333767298
"2312---6630",0.218243243243243,0.00141275738773823
"8239---6630",0.186046511627907,0.000429969613563669
"14420---6630",0.182935153583618,0.000491393887087278
"2912---8903",0.265274555297757,3.5955653618262e-05
"6172---8903",0.262225372076541,8.5394674589394e-05
"4782---8903",0.313818924438394,4.0450109402552e-05
"5183---8903",0.295024526979678,2.2472282593421e-05
"754---8903",0.308265582655827,1.7977826809131e-05
"4459---8903",0.278164116828929,2.2472282593421e-05
"248---8903",0.297080291970803,2.6966738377711e-05
"4172---8903",0.307481125600549,0.000193261631772209
"78---8903",0.305212620027435,0.00101574717983218
"6556---8903",0.2902767920511,4.4944565186842e-05
"2312---8903",0.304993252361673,0.000103372501398525
"8239---8903",0.286615276804485,3.1461194162001e-05
"14420---8903",0.290958531611149,3.5955653618262e-05
"6630---8903",0.27924791086351,0.000184272720203629
"2912---27",0.16358024691358,3.5955653618262e-05
"6172---27",0.207162921348315,8.5394674589394e-05
"4782---27",0.19579945799458,4.0450109402552e-05
"5183---27",0.219810040705563,2.2472282593421e-05
"754---27",0.235016835016835,1.7977826809131e-05
"4459---27",0.30437756497948,2.2472282593421e-05
"248---27",0.222379603399433,2.6966738377711e-05
"4172---27",0.219251336898396,0.000193261631772209
"78---27",0.228152101400934,0.00101574717983218
"6556---27",0.209286209286209,4.4944565186842e-05
"2312---27",0.18371467025572,0.000103372501398525
"8239---27",0.204195804195804,3.1461194162001e-05
"14420---27",0.21501014198783,3.5955653618262e-05
"6630---27",0.231805929919137,0.000184272720203629
"8903---27",0.323924731182796,1.3483371024841e-05
"2912---4556",0.169491525423729,5.9926082835822e-05
"6172---4556",0.222533240027992,0.000142324442145114
"4782---4556",0.191762322754895,6.7416841660312e-05
"5183---4556",0.242320819112628,3.7453800242401e-05
"754---4556",0.2630173564753,2.9963041417911e-05
"4459---4556",0.286879673691366,3.7453800242401e-05
"248---4556",0.242142857142857,4.4944559066891e-05
"4172---4556",0.249162759544541,0.000322102684532629
"78---4556",0.243478260869565,0.00169291178197244
"6556---4556",0.224773834377175,7.4907600484802e-05
"2312---4556",0.232620320855615,0.000172287483563025
"8239---4556",0.24464409122322,5.2435317891381e-05
"14420---4556",0.247657295850067,5.9926082835822e-05
"6630---4556",0.255924170616114,0.000307121166883649
"8903---4556",0.302294197031039,2.2472282593421e-05
"27---4556",0.236351531291611,2.2472282593421e-05
"2912---3171",0.184210526315789,3.5955653618262e-05
"6172---3171",0.177966101694915,8.5394674589394e-05
"4782---3171",0.238805970149254,4.0450109402552e-05
"5183---3171",0.137906647807638,2.2472282593421e-05
"754---3171",0.197154471544715,1.7977826809131e-05
"4459---3171",0.293667362560891,2.2472282593421e-05
"248---3171",0.106904231625835,2.6966738377711e-05
"4172---3171",0.0327070285316632,0.000193261631772209
"78---3171",0.0611535788742182,0.00101574717983218
"6556---3171",0.130092923516798,4.4944565186842e-05
"2312---3171",0.218855218855219,0.000103372501398525
"8239---3171",0.192145862552595,3.1461194162001e-05
"14420---3171",0.200542005420054,3.5955653618262e-05
"6630---3171",0.166318719554628,0.000184272720203629
"8903---3171",0.308539944903581,1.3483371024841e-05
"27---3171",0.22289156626506,1.3483371024841e-05
"4556---3171",0.237710437710438,2.2472282593421e-05
"2912---8189",0.171383647798742,7.1911297444602e-05
"6172---8189",0.127536231884058,0.000170789325922974
"4782---8189",0.215427380125087,8.0900207789192e-05
"5183---8189",0.212290502793296,4.4944559066891e-05
"754---8189",0.136205698401668,3.5955648722301e-05
"4459---8189",0.275668073136428,4.4944559066891e-05
"248---8189",0.217518248175182,5.3933469411481e-05
"4172---8189",0.208534067446662,0.000386523210912839
"78---8189",0.223214285714286,0.00203149408304257
"6556---8189",0.179487179487179,8.9889118133782e-05
"2312---8189",0.19545767377839,0.000206744974645275
"8239---8189",0.130279169649248,6.2922379756071e-05
"14420---8189",0.139178844815588,7.1911297444602e-05
"6630---8189",0.202777777777778,0.000368545390223659
"8903---8189",0.283839779005525,2.6966738377711e-05
"27---8189",0.216792842395045,2.6966738377711e-05
"4556---8189",0.240980258679374,4.4944559066891e-05
"3171---8189",0.214088397790055,2.6966738377711e-05
"2912---849",0.173136645962733,3.5955653618262e-05
"6172---849",0.158931082981716,8.5394674589394e-05
"4782---849",0.226811103588355,4.0450109402552e-05
"5183---849",0.22972972972973,2.2472282593421e-05
"754---849",0.198258539852646,1.7977826809131e-05
"4459---849",0.305385139740968,2.2472282593421e-05
"248---849",0.221751412429379,2.6966738377711e-05
"4172---849",0.218085106382979,0.000193261631772209
"78---849",0.222811671087533,0.00101574717983218
"6556---849",0.206491712707182,4.4944565186842e-05
"2312---849",0.185309973045822,0.000103372501398525
"8239---849",0.175450762829404,3.1461194162001e-05
"14420---849",0.154777927321669,3.5955653618262e-05
"6630---849",0.229530201342282,0.000184272720203629
"8903---849",0.309491978609626,1.3483371024841e-05
"27---849",0.231283422459893,1.3483371024841e-05
"4556---849",0.247011952191235,2.2472282593421e-05
"3171---849",0.215476984656438,1.3483371024841e-05
"8189---849",0.171448087431694,2.6966738377711e-05
"2912---175",0.199532346063913,5.9926082835822e-05
"6172---175",0.229577464788732,0.000142324442145114
"4782---175",0.240136054421769,6.7416841660312e-05
"5183---175",0.223693379790941,3.7453800242401e-05
"754---175",0.254225828262339,2.9963041417911e-05
"4459---175",0.319779462439697,3.7453800242401e-05
"248---175",0.217042971595047,4.4944559066891e-05
"4172---175",0.230034129692833,0.000322102684532629
"78---175",0.232447171097478,0.00169291178197244
"6556---175",0.228975265017668,7.4907600484802e-05
"2312---175",0.237196765498652,0.000172287483563025
"8239---175",0.23876404494382,5.2435317891381e-05
"14420---175",0.245257452574526,5.9926082835822e-05
"6630---175",0.228118538938663,0.000307121166883649
"8903---175",0.311385459533608,2.2472282593421e-05
"27---175",0.224021592442645,2.2472282593421e-05
"4556---175",0.256445047489824,3.7453800242401e-05
"3171---175",0.232350925291295,2.2472282593421e-05
"8189---175",0.243280496209511,4.4944559066891e-05
"849---175",0.24715338245144,2.2472282593421e-05
"2912---5394",0.164808917197452,4.7940868227042e-05
"6172---5394",0.132756132756133,0.000113859558367254
"4782---5394",0.219833564493759,5.3933475531432e-05
"5183---5394",0.207837648705388,2.9963041417911e-05
"754---5394",0.111727966689799,2.3970434113521e-05
"4459---5394",0.276565798733286,2.9963041417911e-05
"248---5394",0.2081811541271,3.5955648722301e-05
"4172---5394",0.200549450549451,0.000257682158152419
"78---5394",0.200411805078929,0.00135432948090231
"6556---5394",0.191732002851034,5.9926082835822e-05
