"pair","pairwise_distance","frxfr"
"6172---1383",0.158253751705321,0.000895385144713598
"6172---8352",0.254570074475288,0.000447692579296034
"1383---8352",0.259158751696065,0.000520291370707596
"6172---9489",0.223505434782609,0.000447692579296034
"1383---9489",0.235494880546075,0.000520291370707596
"8352---9489",0.272294077603812,0.000260145689386056
"6172---2312",0.206896551724138,0.00083839613704234
"1383---2312",0.226045883940621,0.00097435225757734
"8352---2312",0.259433962264151,0.0004871761363399
"9489---2312",0.240294511378849,0.0004871761363399
"6172---4658",0.160872528970688,0.000447692579296034
"1383---4658",0.0780821917808219,0.000520291370707596
"8352---4658",0.262626262626263,0.000260145689386056
"9489---4658",0.241029113067028,0.000260145689386056
"2312---4658",0.232059020791415,0.0004871761363399
"6172---4482",0.248793935217092,0.000447692579296034
"1383---4482",0.243953006219765,0.000520291370707596
"8352---4482",0.280328992460589,0.000260145689386056
"9489---4482",0.271857923497268,0.000260145689386056
"2312---4482",0.236301369863014,0.0004871761363399
"4658---4482",0.258219178082192,0.000260145689386056
"6172---1335",0.181437543614794,0.00074615428957441
"1383---1335",0.205450733752621,0.000867152273759972
"8352---1335",0.240418118466899,0.000433576143600416
"9489---1335",0.22461752433936,0.000433576143600416
"2312---1335",0.148432055749129,0.00081196021716486
"4658---1335",0.216968011126565,0.000433576143600416
"4482---1335",0.233333333333333,0.000433576143600416
"6172---15943",0.148921363952679,0.00543076114003282
"1383---15943",0.112104539202201,0.00631142504523138
"8352---15943",0.259133964817321,0.00315571257152924
"9489---15943",0.242692046227056,0.00315571257152924
"2312---15943",0.229265003371544,0.00590971874884838
"4658---15943",0.109897610921502,0.00315571257152924
"4482---15943",0.261168384879725,0.00315571257152924
"1335---15943",0.199860237596087,0.00525952088733067
"6172---5673",0.193142057382785,0.000447692579296034
"1383---5673",0.210418094585332,0.000520291370707596
"8352---5673",0.262978142076503,0.000260145689386056
"9489---5673",0.156141568355309,0.000260145689386056
"2312---5673",0.228705566733736,0.0004871761363399
"4658---5673",0.213315217391304,0.000260145689386056
"4482---5673",0.270362765229295,0.000260145689386056
"1335---5673",0.202372644801117,0.000433576143600416
"15943---5673",0.203274215552524,0.00315571257152924
"6172---7314",0.156685236768802,0.00074615428957441
"1383---7314",0.0937072503419973,0.000867152273759972
"8352---7314",0.256720430107527,0.000433576143600416
"9489---7314",0.22972972972973,0.000433576143600416
"2312---7314",0.21619812583668,0.00081196021716486
"4658---7314",0.0944935418082937,0.000433576143600416
"4482---7314",0.246922024623803,0.000433576143600416
"1335---7314",0.203883495145631,0.00072262689704012
"15943---7314",0.09375,0.00525952088733067
"5673---7314",0.208813559322034,0.000433576143600416
"6172---76",0.258584442887176,0.0045898078255467
"1383---76",0.262035763411279,0.00533410093281682
"8352---76",0.284441398217957,0.00266705050774769
"9489---76",0.267271458478716,0.00266705050774769
"2312---76",0.293720459149224,0.00499459885287468
"4658---76",0.269754768392371,0.00266705050774769
"4482---76",0.287680660701996,0.00266705050774769
"1335---76",0.257162823200559,0.00444508412446045
"15943---76",0.278005464480874,0.0323528129028993
"5673---76",0.258176757132916,0.00266705050774769
"7314---76",0.278532608695652,0.00444508412446045
"6172---13922",0.136460554371002,0.00169980705149886
"1383---13922",0.0984170681348933,0.00197545141836711
"8352---13922",0.256064690026954,0.000987725724493305
"9489---13922",0.216711956521739,0.000987725724493305
"2312---13922",0.211305518169583,0.00184971891465048
"4658---13922",0.110580204778157,0.000987725724493305
"4482---13922",0.233676975945017,0.000987725724493305
"1335---13922",0.194154488517745,0.00164620952040918
"15943---13922",0.0937072503419973,0.0119816649407584
"5673---13922",0.197135061391542,0.000987725724493305
"7314---13922",0.0769230769230769,0.00164620952040918
"76---13922",0.276450511945392,0.0101263042306882
"6172---2912",0.191780821917808,0.00013589689327136
"1383---2912",0.227053140096618,0.000157934225727485
"8352---2912",0.254445964432285,7.89671140877325e-05
"9489---2912",0.237542662116041,7.89671140877325e-05
"2312---2912",0.198906356801094,0.00014788211032812
"4658---2912",0.230294722412611,7.89671140877325e-05
"4482---2912",0.25625,7.89671140877325e-05
"1335---2912",0.195898161244696,0.0001316118551809
"15943---2912",0.209910529938059,0.000957915217631117
"5673---2912",0.225872689938398,7.89671140877325e-05
"7314---2912",0.225102319236016,0.0001316118551809
"76---2912",0.27766323024055,0.000809582054655969
"13922---2912",0.209621993127148,0.000299823726303234
"6172---6172",0.0133928571428571,0.0277569395
"1383---6172",0.145172656800564,0.000895385144713598
"8352---6172",0.247744621790423,0.000447692579296034
"9489---6172",0.207810320781032,0.000447692579296034
"2312---6172",0.195969423210563,0.00083839613704234
"4658---6172",0.149264190609671,0.000447692579296034
"4482---6172",0.233498935415188,0.000447692579296034
"1335---6172",0.173447537473233,0.00074615428957441
"15943---6172",0.140449438202247,0.00543076114003282
"5673---6172",0.181499649614576,0.000447692579296034
"7314---6172",0.148846960167715,0.00074615428957441
"76---6172",0.244397759103641,0.0045898078255467
"13922---6172",0.137351086194814,0.00169980705149886
"2912---6172",0.188826025459689,0.00013589689327136
"6172---4782",0.192708333333333,0.000152884001460662
"1383---4782",0.220013708019191,0.000177675999911162
"8352---4782",0.260515603799186,8.883800133257e-05
"9489---4782",0.244745762711864,8.883800133257e-05
"2312---4782",0.19959266802444,0.00016636737034352
"4658---4782",0.240816326530612,8.883800133257e-05
"4482---4782",0.251728907330567,8.883800133257e-05
"1335---4782",0.20223932820154,0.000148063333718298
"15943---4782",0.234652114597544,0.00107765459537823
"5673---4782",0.22758152173913,8.883800133257e-05
"7314---4782",0.230664857530529,0.000148063333718298
"76---4782",0.276073619631902,0.000910779790818324
"13922---4782",0.227148703956344,0.000337301684436264
"2912---4782",0.122406639004149,2.6966737765716e-05
"6172---4782",0.196767392832045,0.000152884001460662
"6172---5183",0.167927382753404,8.49355548249823e-05
"1383---5183",0.219529085872576,9.87088870474198e-05
"8352---5183",0.257774706288874,4.93544442887038e-05
"9489---5183",0.136715997181113,4.93544442887038e-05
"2312---5183",0.212244897959184,9.242631517946e-05
"4658---5183",0.223901098901099,4.93544442887038e-05
"4482---5183",0.265700483091787,4.93544442887038e-05
"1335---5183",0.194503171247357,8.22574061278478e-05
"15943---5183",0.20882150241213,0.000598696986562676
"5673---5183",0.11614730878187,4.93544442887038e-05
"7314---5183",0.219562243502052,8.22574061278478e-05
"76---5183",0.246652572233968,0.00050598876349034
"13922---5183",0.204545454545455,0.000187389821284647
"2912---5183",0.220221606648199,1.49815207089555e-05
"6172---5183",0.186309103740296,8.49355548249823e-05
"4782---5183",0.222222222222222,1.6854210415078e-05
"6172---754",0.144587433762301,6.79484466356798e-05
"1383---754",0.134246575342466,7.89671128637423e-05
"8352---754",0.259259259259259,3.94835570438662e-05
"9489---754",0.23019634394042,3.94835570438662e-05
"2312---754",0.231543624161074,7.394105516406e-05
"4658---754",0.120923913043478,3.94835570438662e-05
"4482---754",0.261643835616438,3.94835570438662e-05
"1335---754",0.211404728789986,6.58059275904502e-05
"15943---754",0.121149897330595,0.000478957608815558
"5673---754",0.205442176870748,3.94835570438662e-05
"7314---754",0.129667345553293,6.58059275904502e-05
"76---754",0.266348773841962,0.000404791027327985
"13922---754",0.142662116040956,0.000149911863151617
"2912---754",0.227335164835165,1.19852170567605e-05
"6172---754",0.150175438596491,6.79484466356798e-05
"4782---754",0.243537414965986,1.3483368882858e-05
"5183---754",0.199449793672627,7.49076035447775e-06
"6172---4459",0.248091603053435,8.49355548249823e-05
"1383---4459",0.303301237964237,9.87088870474198e-05
"8352---4459",0.320301783264746,4.93544442887038e-05
"9489---4459",0.285218598195697,4.93544442887038e-05
"2312---4459",0.273662551440329,9.242631517946e-05
"4658---4459",0.303632625085675,4.93544442887038e-05
"4482---4459",0.291899441340782,4.93544442887038e-05
"1335---4459",0.265392781316348,8.22574061278478e-05
"15943---4459",0.296423658872077,0.000598696986562676
"5673---4459",0.291724137931035,4.93544442887038e-05
"7314---4459",0.303693570451436,8.22574061278478e-05
"76---4459",0.319415448851775,0.00050598876349034
"13922---4459",0.278541953232462,0.000187389821284647
"2912---4459",0.278859527121001,1.49815207089555e-05
"6172---4459",0.266713581984518,8.49355548249823e-05
"4782---4459",0.286998616874136,1.6854210415078e-05
"5183---4459",0.293333333333333,9.36345006060025e-06
"754---4459",0.310533515731874,7.49076035447775e-06
"6172---248",0.16439454691259,0.000101922663014285
"1383---248",0.218457101658255,0.000118450661231097
"8352---248",0.249275362318841,5.92253315335413e-05
"9489---248",0.133136094674556,5.92253315335413e-05
"2312---248",0.215602836879433,0.00011091157519486
"4658---248",0.223259152907394,5.92253315335413e-05
"4482---248",0.274891774891775,5.92253315335413e-05
"1335---248",0.203377386196769,9.87088846652453e-05
"15943---248",0.21685878962536,0.000718436364309793
"5673---248",0.123065585851142,5.92253315335413e-05
"7314---248",0.217453505007153,9.87088846652453e-05
"76---248",0.242424242424242,0.000607186499652695
"13922---248",0.211510791366906,0.000224867779417677
"2912---248",0.222543352601156,1.79778243611505e-05
"6172---248",0.183222958057395,0.000101922663014285
"4782---248",0.221264367816092,2.0225051947298e-05
"5183---248",0.0960960960960961,1.12361397667228e-05
"754---248",0.197264218862491,8.98891218057525e-06
"4459---248",0.280882352941177,1.12361397667228e-05
"6172---4172",0.155332302936631,0.000730445777046235
"1383---4172",0.223961878829135,0.000848896435059423
"8352---4172",0.265943012211669,0.000424448224108659
"9489---4172",0.157748436414177,0.000424448224108659
"2312---4172",0.231128924515698,0.00079486631658434
"4658---4172",0.215395003376097,0.000424448224108659
"4482---4172",0.270435967302452,0.000424448224108659
"1335---4172",0.219529085872576,0.000707413698075835
"15943---4172",0.217567567567568,0.00514879412356985
"5673---4172",0.16008316008316,0.000424448224108659
"7314---4172",0.216543375924681,0.000707413698075835
"76---4172",0.246699096594858,0.00435150339908835
"13922---4172",0.207572684246112,0.00161155247529576
"2912---4172",0.222070844686649,0.000128841079076209
"6172---4172",0.174547983310153,0.000730445777046235
"4782---4172",0.236486486486486,0.000144946210671262
"5183---4172",0.137834036568214,8.05256711331572e-05
"754---4172",0.197297297297297,6.44205395381047e-05
"4459---4172",0.30242214532872,8.05256711331572e-05
"248---4172",0.113165680473373,9.66308027282097e-05
"6172---78",0.164098613251156,0.00383908710307044
"1383---78",0.22554347826087,0.00446164172357563
"8352---78",0.261694915254237,0.00223082089636554
"9489---78",0.156726768377254,0.00223082089636554
"2312---78",0.231487658438959,0.00417766947329602
"4658---78",0.222371967654987,0.00223082089636554
"4482---78",0.278532608695652,0.00223082089636554
"1335---78",0.212456747404844,0.00371803478117227
"15943---78",0.222147197839298,0.0270611039687217
"5673---78",0.154803040774015,0.00223082089636554
"7314---78",0.228187919463087,0.00371803478117227
"76---78",0.251908396946565,0.0228706922585848
"13922---78",0.217948717948718,0.00847001997718114
"2912---78",0.22312925170068,0.000677164740451153
"6172---78",0.185159500693481,0.00383908710307044
"4782---78",0.23921832884097,0.000761810315718686
"5183---78",0.1243851018974,0.000423227945493109
"754---78",0.172739541160594,0.000338582370225577
"4459---78",0.296270718232044,0.000423227945493109
"248---78",0.0798226164079822,0.000507873520760642
"4172---78",0.0821823204419889,0.00363976035890292
"6172---6556",0.152448657187994,0.000169871109649965
"1383---6556",0.198033707865169,0.00019741777409484
"8352---6556",0.252995066948555,9.87088885774075e-05
"9489---6556",0.145714285714286,9.87088885774075e-05
"2312---6556",0.20997920997921,0.00018485263035892
"4658---6556",0.204608938547486,9.87088885774075e-05
"4482---6556",0.264747191011236,9.87088885774075e-05
"1335---6556",0.187276626161544,0.000164514812255696
"15943---6556",0.193435754189944,0.00119739397312535
"5673---6556",0.108804581245526,9.87088885774075e-05
"7314---6556",0.200138985406532,0.000164514812255696
"76---6556",0.246438746438746,0.00101197752698068
"13922---6556",0.186144156752974,0.000374779642569294
"2912---6556",0.206214689265537,2.9963041417911e-05
"6172---6556",0.164028776978417,0.000169871109649965
"4782---6556",0.20140350877193,3.3708420830156e-05
"5183---6556",0.127351664254703,1.87269001212005e-05
"754---6556",0.189944134078212,1.49815207089555e-05
"4459---6556",0.282377919320594,1.87269001212005e-05
"248---6556",0.121509433962264,2.24722795334455e-05
"4172---6556",0.128917378917379,0.000161051342266314
"78---6556",0.13361762615494,0.000846455890986219
"6172---2312",0.15843137254902,0.00083839613704234
"1383---2312",0.220258327668253,0.00097435225757734
"8352---2312",0.256756756756757,0.0004871761363399
"9489---2312",0.23252688172043,0.0004871761363399
"2312---2312",0.0156143923964698,0.03020492
"4658---2312",0.222672064777328,0.0004871761363399
"4482---2312",0.232413793103448,0.0004871761363399
"1335---2312",0.140854940434478,0.00081196021716486
"15943---2312",0.218834688346883,0.00590971874884838
"5673---2312",0.218476062036413,0.0004871761363399
"7314---2312",0.207267833109018,0.00081196021716486
"76---2312",0.289757412398922,0.00499459885287468
"13922---2312",0.198240866035183,0.00184971891465048
"2912---2312",0.188098495212038,0.00014788211032812
"6172---2312",0.186629526462396,0.00083839613704234
"4782---2312",0.190217391304348,0.00016636737034352
"5183---2312",0.207624234172907,9.242631517946e-05
"754---2312",0.222297297297297,7.394105516406e-05
"4459---2312",0.26671261199173,9.242631517946e-05
