"pair","pairwise_distance","frxfr"
"247---245",0.127547169811321,0.00618940444286704
"247---18756",0.0569230769230769,0.00261859414283241
"245---18756",0.127836611195159,0.00077367554466759
"247---269",0.163343558282209,0.000714162117901662
"245---269",0.147081122062168,0.000211002444598338
"18756---269",0.233465608465608,8.9270263504155e-05
"247---14",0.140986132511556,0.0171398892375346
"245---14",0.067577828397874,0.00506405819996537
"18756---14",0.243691899070385,0.00214248612508657
"269---14",0.157965194109772,0.000584314462344183
"247---410",0.0565015479876161,0.0199965374196676
"245---410",0.127547169811321,0.00590806789283241
"18756---410",0.00132978723404255,0.00249956714291898
"269---410",0.233972240581626,0.000681700205245845
"14---410",0.243207422133864,0.0163608034061634
"247---1024",0.0681284259984338,0.00190443216966759
"245---1024",0.144706778370145,0.00056267314283241
"18756---1024",0.0416386836803224,0.000238054017918975
"269---1024",0.250333778371161,6.4923830245845e-05
"14---1024",0.25853985264568,0.00155817178116343
"410---1024",0.0409121395036888,0.00181786707583102
"247---590",0.135764158262219,0.0171398892375346
"245---590",0.0733736762481089,0.00506405819996537
"18756---590",0.235761589403973,0.00214248612508657
"269---590",0.162216288384513,0.000584314462344183
"14---590",0.0221476510067114,0.0140235457936288
"410---590",0.236615994712492,0.0163608034061634
"1024---590",0.251169004676019,0.00155817178116343
"247---27",0.0466034755134281,0.00214248620896814
"245---27",0.118007662835249,0.000633007291031856
"18756---27",0.021680216802168,0.00026781077242036
"269---27",0.229265003371544,7.3039309643352e-05
"14---27",0.232746955345061,0.0017529432686115
"410---27",0.0210027100271003,0.00204510047757964
"1024---27",0.0334470989761092,0.00019477147757964
"590---27",0.226567768037761,0.0017529432686115
"247---485",0.113795791114575,0.020948753432133
"245---485",0.159005275056518,0.00618940444286704
"18756---485",0.141153081510934,0.00261859414283241
"269---485",0.255277044854881,0.000714162117901662
"14---485",0.254473161033797,0.0171398892375346
"410---485",0.14021164021164,0.0199965374196676
"1024---485",0.15497661990648,0.00190443216966759
"590---485",0.252478519497687,0.0171398892375346
"27---485",0.130464021519839,0.00214248620896814
"247---201",0.0202101859337106,0.00214248620896814
"245---201",0.116653875671527,0.000633007291031856
"18756---201",0.0240549828178694,0.00026781077242036
"269---201",0.226621160409556,7.3039309643352e-05
"14---201",0.23013698630137,0.0017529432686115
"410---201",0.0247083047357584,0.00204510047757964
"1024---201",0.0375,0.00019477147757964
"590---201",0.220779220779221,0.0017529432686115
"27---201",0.019594121763471,0.000219117914127424
"485---201",0.125768967874231,0.00214248620896814
"247---356",0.0645933014354067,0.00928410666430055
"245---356",0.135849056603774,0.00274303152319945
"18756---356",0.0964095744680851,0.00116051331700138
"269---356",0.252150893448048,0.000316503666897507
"14---356",0.240691489361702,0.00759608729994806
"410---356",0.0950166112956811,0.00886210183924861
"1024---356",0.111334674714956,0.000844009714248615
"590---356",0.237400530503979,0.00759608729994806
"27---356",0.0795148247978437,0.000949510936547784
"485---356",0.107928047968021,0.00928410666430055
"201---356",0.081043956043956,0.000949510936547784
"247---1093",0.0436540016168149,0.01809210525
"245---1093",0.127008416220352,0.00534539475
"18756---1093",0.0695006747638327,0.002261513125
"269---1093",0.226997985224983,0.000616776375
"14---1093",0.227916385704653,0.014802631625
"410---1093",0.069453809844909,0.017269736875
"1024---1093",0.0860433604336043,0.001644736875
"590---1093",0.225134408602151,0.014802631625
"27---1093",0.0655737704918033,0.001850329
"485---1093",0.118279569892473,0.01809210525
"201---1093",0.0509065550906555,0.001850329
"356---1093",0.0721997300944669,0.008018092125
"247---7",0.124587458745875,0.00404691823389889
"245---7",0.115444617784711,0.00119568039110111
"18756---7",0.203059805285118,0.00050586477224723
"269---7",0.0169371912491179,0.000137963134954986
"14---7",0.122893258426966,0.00331111493135388
"410---7",0.202223766504517,0.00386296741525277
"1024---7",0.221678321678322,0.00036790166525277
"590---7",0.126750700280112,0.00331111493135388
"27---7",0.199155524278677,0.000413889376904432
"485---7",0.223066298342541,0.00404691823389889
"201---7",0.188801148600144,0.000413889376904432
"356---7",0.219529085872576,0.00179352058665166
"1093---7",0.196629213483146,0.00349506575
"247---249",0.0412111017661901,0.00142832409106648
"245---249",0.116459627329193,0.000422004846433518
"18756---249",0.066759388038943,0.000178540508916205
"269---249",0.23007623007623,4.8692871450831e-05
"14---249",0.21866295264624,0.00116862880626731
"410---249",0.0647632311977716,0.0013634002723338
"1024---249",0.0779494382022472,0.000129847647333795
"590---249",0.214037526059764,0.00116862880626731
"27---249",0.0521494009866103,0.000146078604484072
"485---249",0.0994436717663421,0.00142832409106648
"201---249",0.0407433881343817,0.000146078604484072
"356---249",0.00839160839160839,0.000633007269650277
"1093---249",0.0547752808988764,0.001233552625
"7---249",0.1985559566787,0.000275926241949446
