"N","frequency","BWPD","HMAa","seed"
10,"equally abundant",0.952976,0.45037430235243,1001
10,"intermediate",0.917919245308528,0.419506018205908,1001
10,"extremely skewed",0.08818831604388,0.0361731600154517,1001
20,"equally abundant",0.943528,0.476139865449552,1001
20,"intermediate",0.938577187634733,0.472921969626047,1001
20,"extremely skewed",0.0975675841675977,0.0521432262393345,1001
30,"equally abundant",0.891563333333334,0.488182351158338,1001
30,"intermediate",0.889562294223754,0.483194577783017,1001
30,"extremely skewed",0.211375322720853,0.149986545853824,1001
40,"equally abundant",0.859011,0.477131748000438,1001
40,"intermediate",0.889767683916465,0.485748121558343,1001
40,"extremely skewed",0.222203515104637,0.126190525135661,1001
50,"equally abundant",0.840156,0.473423365212236,1001
50,"intermediate",0.823105014200814,0.46458625673358,1001
50,"extremely skewed",0.317874103551625,0.173661275085024,1001
60,"equally abundant",0.843321333333333,0.474601422237322,1001
60,"intermediate",0.856359962787914,0.477050740045107,1001
60,"extremely skewed",0.412442769947836,0.214810627442175,1001
70,"equally abundant",0.833539714285714,0.467662323846293,1001
70,"intermediate",0.829021475676917,0.465129558603697,1001
70,"extremely skewed",0.0385857366622166,0.0246174467544471,1001
80,"equally abundant",0.819227,0.471182720603007,1001
80,"intermediate",0.798120175229378,0.457970897782483,1001
80,"extremely skewed",0.036743629260155,0.0242352558775799,1001
100,"equally abundant",0.8176918,0.482822327890799,1001
100,"intermediate",0.811188727832936,0.4785069788952,1001
100,"extremely skewed",0.0455834803671194,0.0309832902627998,1001
120,"equally abundant",0.798854166666667,0.479371275704553,1001
120,"intermediate",0.787112512502252,0.476539073644841,1001
120,"extremely skewed",0.0399845340656954,0.0287654367594565,1001
150,"equally abundant",0.810758266666668,0.480659652823053,1001
150,"intermediate",0.811362856421394,0.475078633989946,1001
150,"extremely skewed",0.479623158326649,0.270553103989234,1001
180,"equally abundant",0.810562999999999,0.47953719496852,1001
180,"intermediate",0.807537900626725,0.478771529070305,1001
180,"extremely skewed",0.137590251984137,0.0845850976854406,1001
200,"equally abundant",0.8145067,0.480036772511453,1001
200,"intermediate",0.812738001296294,0.486497565824657,1001
200,"extremely skewed",0.605201879066162,0.343237560695867,1001
10,"equally abundant",0.81328,0.404309986333231,1002
10,"intermediate",0.874065179055357,0.380800004744151,1002
10,"extremely skewed",0.195509067346724,0.093049266267257,1002
20,"equally abundant",0.860597,0.437922619186681,1002
20,"intermediate",0.852420021518374,0.411524922926813,1002
20,"extremely skewed",0.346363576088321,0.0993504460657706,1002
30,"equally abundant",0.826579333333333,0.438703938987169,1002
30,"intermediate",0.796913210358244,0.427534789891235,1002
30,"extremely skewed",0.501276766343317,0.249879041739812,1002
40,"equally abundant",0.8041,0.453299657587501,1002
40,"intermediate",0.805688656438125,0.45742026350777,1002
40,"extremely skewed",0.392564590733124,0.173852946381435,1002
50,"equally abundant",0.813904,0.462928624039227,1002
50,"intermediate",0.819554728960932,0.471922348666091,1002
50,"extremely skewed",0.418951783744578,0.189631474557337,1002
60,"equally abundant",0.817618333333333,0.469898881049603,1002
60,"intermediate",0.825890232847872,0.478580648680419,1002
60,"extremely skewed",0.409055576410431,0.188249846978772,1002
70,"equally abundant",0.793200285714286,0.462613831657368,1002
70,"intermediate",0.792983046418882,0.458013715432158,1002
70,"extremely skewed",0.467081560726196,0.251403019288014,1002
80,"equally abundant",0.788172,0.457237445699117,1002
80,"intermediate",0.778305482059947,0.441257657401858,1002
80,"extremely skewed",0.458855141187968,0.236936936667469,1002
100,"equally abundant",0.7792864,0.455854824458415,1002
100,"intermediate",0.791873408015826,0.463779848699551,1002
100,"extremely skewed",0.408984677706317,0.225678616955871,1002
120,"equally abundant",0.779576833333333,0.471090267985527,1002
120,"intermediate",0.779056134339761,0.462031532203905,1002
120,"extremely skewed",0.402135917594609,0.236183001632949,1002
150,"equally abundant",0.788756800000001,0.471537641505899,1002
150,"intermediate",0.79502017942426,0.469448480118231,1002
150,"extremely skewed",0.690005099737349,0.350673061640978,1002
180,"equally abundant",0.791581555555555,0.470547110191433,1002
180,"intermediate",0.794043314182542,0.467157379050458,1002
180,"extremely skewed",0.579657458297981,0.330365329176544,1002
200,"equally abundant",0.7945186,0.471700197816478,1002
200,"intermediate",0.784994646368482,0.473363922199056,1002
200,"extremely skewed",0.524143764203317,0.316207775339746,1002
10,"equally abundant",0.730354,0.38938486026886,1003
10,"intermediate",0.678187356665939,0.368812889001447,1003
10,"extremely skewed",0.196731218799261,0.137866031878121,1003
20,"equally abundant",0.781689,0.458504073748275,1003
20,"intermediate",0.77124575283368,0.434224216221713,1003
20,"extremely skewed",0.339779545544454,0.201275728522078,1003
30,"equally abundant",0.794835333333333,0.471050164879755,1003
30,"intermediate",0.76119227614157,0.460322825300619,1003
30,"extremely skewed",0.0245072157503734,0.020322835580832,1003
40,"equally abundant",0.779954,0.460458089507377,1003
40,"intermediate",0.777406970095129,0.451433459259025,1003
40,"extremely skewed",0.0427922701120187,0.0318074629503481,1003
50,"equally abundant",0.7748956,0.475672682782661,1003
50,"intermediate",0.77669635374528,0.473411907632237,1003
50,"extremely skewed",0.441483091292925,0.280913657892642,1003
60,"equally abundant",0.773569333333333,0.489501197324678,1003
60,"intermediate",0.773396628412768,0.492166726548737,1003
60,"extremely skewed",0.502033151188003,0.293705296164265,1003
70,"equally abundant",0.788671714285714,0.500858906689076,1003
70,"intermediate",0.797239241065058,0.496991897840188,1003
70,"extremely skewed",0.611907417794245,0.354157674723718,1003
80,"equally abundant",0.783064,0.499956840993534,1003
80,"intermediate",0.768977288471407,0.49091686051251,1003
80,"extremely skewed",0.202386278613832,0.145194706998383,1003
100,"equally abundant",0.7954594,0.499836610291569,1003
100,"intermediate",0.808362206900274,0.494767628659082,1003
100,"extremely skewed",0.673050155699927,0.374329275108232,1003
120,"equally abundant",0.788768333333333,0.492749222187988,1003
120,"intermediate",0.790172146004644,0.489645396551361,1003
120,"extremely skewed",0.580797549015489,0.285491378628861,1003
150,"equally abundant",0.798687866666667,0.501687823531742,1003
150,"intermediate",0.807434413882155,0.501497202467298,1003
150,"extremely skewed",0.868407746472255,0.353685910359072,1003
180,"equally abundant",0.794026111111111,0.497748613301695,1003
180,"intermediate",0.796162136815752,0.49160415684344,1003
180,"extremely skewed",0.501347290952267,0.26422432789106,1003
200,"equally abundant",0.8014343,0.501333071166739,1003
200,"intermediate",0.80258548345052,0.496560391564069,1003
200,"extremely skewed",0.502219630764711,0.321696231537454,1003
10,"equally abundant",0.915348,0.525260160093463,1004
10,"intermediate",0.898019602400428,0.505816480288388,1004
10,"extremely skewed",0.182182651766247,0.102075658093379,1004
20,"equally abundant",0.854083,0.490538245205712,1004
20,"intermediate",0.851602249028287,0.463758778852315,1004
20,"extremely skewed",0.238369382530993,0.131972698367653,1004
30,"equally abundant",0.860325333333333,0.49651660356517,1004
30,"intermediate",0.853099368832825,0.487051708544815,1004
30,"extremely skewed",0.486324237348015,0.248387531048373,1004
40,"equally abundant",0.8430555,0.490914961549322,1004
40,"intermediate",0.813223343579918,0.488771320384763,1004
40,"extremely skewed",0.478426538278681,0.241471579201934,1004
50,"equally abundant",0.8600912,0.497222791429449,1004
