Plate Name,Sample Name,Lower Marker Time(sec),Genomic Quality Score[0-5],User Comment,Analysis Error,Total gDNA Conc. (ng/ul)
2024-09-17_11-27-03,Ladder3,26.8833333333333,,,,
2024-09-17_11-27-03,Alpha1,27.15,4.3961388446248,,Conc. > 5 ng/ul. GQS is suspect.,6.61860303357157
2024-09-17_11-27-03,Alpha2,27.0833333333333,4.44512577180871,,Conc. > 5 ng/ul. GQS is suspect.,5.30572986585407
2024-09-17_11-27-03,Alpha3,27.1166666666667,4.04304384359463,,Conc. > 5 ng/ul. GQS is suspect.,6.77302285487279
2024-09-17_11-27-03,Alpha4,27.2,4.3424796717575,,Conc. > 5 ng/ul. GQS is suspect.,7.34241725339015
2024-09-17_11-27-03,Alpha5,27.15,4.30916836518836,,Conc. > 5 ng/ul. GQS is suspect.,8.28958662279482
2024-09-17_11-27-03,Alpha6,27.15,4.37893703530809,,Conc. > 5 ng/ul. GQS is suspect.,5.9123919944264
2024-09-17_11-27-03,Alpha7,27.1,4.28344541543881,,Conc. > 5 ng/ul. GQS is suspect.,6.00267000000442
2024-09-17_11-27-03,Alpha8,27.1166666666667,4.35163414153488,,Conc. > 5 ng/ul. GQS is suspect.,5.87890887821187
2024-09-17_11-27-03,Alpha9,27.15,4.1739512465588,,,4.39020774089269
2024-09-17_11-27-03,Alpha10,27.05,4.35706780701235,,Conc. > 5 ng/ul. GQS is suspect.,5.45639668839111
2024-09-17_11-27-03,Alpha11,27.0166666666667,4.17820765415879,,Conc. > 5 ng/ul. GQS is suspect.,5.0380333402392
2024-09-17_11-27-03,Alpha12,27.05,4.18990528058493,,,4.73260432014966
2024-09-17_11-27-03,Alpha13,27,4.23458327382966,,,4.65166106216394
2024-09-17_11-27-03,Alpha14,27.0833333333333,4.21662276795774,,,4.76032770092319
2024-09-17_11-27-03,Alpha15,27.0833333333333,4.11811428996106,,Conc. > 5 ng/ul. GQS is suspect.,5.05457955732913
2024-09-17_11-27-03,Alpha16,26.95,4.26437988284713,,,4.33971083597439
2024-09-17_14-47-14,Alpha17_re,26.55,4.2787092973521,,,4.49802659491758
2024-09-17_11-27-03,Alpha18,27.0166666666667,4.2763535882257,,,4.14705354108041
2024-09-17_11-27-03,Alpha19,26.9833333333333,3.83338020742036,,Conc. > 5 ng/ul. GQS is suspect.,5.31002407654055
2024-09-17_14-47-14,Alpha20_re,26.55,3.56268224970038,,,3.92784399659513
2024-09-17_11-27-03,Beta1,26.9833333333333,4.29064719532665,,,4.77240030475145
2024-09-17_11-27-03,Beta2,26.95,4.32394584526414,,,4.30006573252173
2024-09-17_11-27-03,Beta3,26.9333333333333,4.15671644725633,,,4.4443673641982
2024-09-17_11-27-03,Beta4,26.9,4.34392965659046,,Conc. > 5 ng/ul. GQS is suspect.,6.1521765656308
2024-09-17_11-27-03,Beta5,26.8833333333333,4.23864547291778,,Conc. > 5 ng/ul. GQS is suspect.,6.52541063151446
2024-09-17_11-27-03,Beta6,26.85,4.22456382120954,,Conc. > 5 ng/ul. GQS is suspect.,5.04090622469114
2024-09-17_11-27-03,Beta7,26.8666666666667,4.23919250006017,,,4.45684925693489
2024-09-17_11-27-03,Beta8,26.9166666666667,4.22835104499864,,Conc. > 5 ng/ul. GQS is suspect.,7.58766850832202
2024-09-17_11-27-03,Beta9,26.85,4.28368096281825,,Conc. > 5 ng/ul. GQS is suspect.,11.2425232303949
2024-09-17_11-27-03,Beta10,26.7833333333333,4.3796292298371,,Conc. > 5 ng/ul. GQS is suspect.,14.3368225749143
2024-09-17_11-27-03,Beta11,26.8,4.15262610442399,,Conc. > 5 ng/ul. GQS is suspect.,5.71226446275506
2024-09-17_11-27-03,Beta12,26.8166666666667,4.21141332141806,,Conc. > 5 ng/ul. GQS is suspect.,6.23921529148869
2024-09-17_11-27-03,Beta13,26.75,4.14668538061218,,Conc. > 5 ng/ul. GQS is suspect.,5.67173158684921
2024-09-17_11-27-03,Beta14,26.8333333333333,4.12881584497525,,Conc. > 5 ng/ul. GQS is suspect.,6.24314337621431
2024-09-17_11-27-03,Beta15,26.7666666666667,4.2587516536158,,Conc. > 5 ng/ul. GQS is suspect.,8.89495372974974
2024-09-17_11-27-03,Beta16,26.8166666666667,4.11200372612115,,Conc. > 5 ng/ul. GQS is suspect.,6.68514443826121
2024-09-17_11-27-03,Beta17,26.7166666666667,4.04269751218647,,,4.87752391850412
2024-09-17_14-47-14,Beta18,26.4833333333333,4.40596775794369,,Conc. > 5 ng/ul. GQS is suspect.,22.6936389659279
2024-09-17_11-27-03,Beta19,26.6833333333333,4.28751676493167,,Conc. > 5 ng/ul. GQS is suspect.,6.33943497613664
2024-09-17_11-27-03,Beta20,26.65,4.3255963911833,,Conc. > 5 ng/ul. GQS is suspect.,5.75052799991036
2024-09-17_11-27-03,Beta21,26.65,4.29686300699893,,Conc. > 5 ng/ul. GQS is suspect.,7.21545677927027
2024-09-17_11-27-03,Beta22,26.6666666666667,4.0418163566633,,Conc. > 5 ng/ul. GQS is suspect.,5.03764731284142
